Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Info Text,Pre release,Highlighted,Music Video,Release type,Year,Release Date,Main Cover image,Background-image,Logo-type,Primary-colour,text colour,BG embed link,BG video link,Soundcloud Embed SRC,Spotify Embed SRC,Spotify URL,iTunes URL,Soundcloud URL,Bandcamp URL,Deezer URL,Apple Music URL,Amazon URL,Tidal URL
Avril 14th Live Hardware Set,avril-14th-live-hardware-set,6578eb2fc26d426f963ef24e,6578eb2fc26d426f963ef24d,68366732435bffa3a88a66de,false,false,Wed May 28 2025 01:30:26 GMT+0000 (Coordinated Universal Time),Sat Jan 24 2026 20:43:43 GMT+0000 (Coordinated Universal Time),Sat Jan 24 2026 20:43:43 GMT+0000 (Coordinated Universal Time),"All original music performed live for Avril 14th x Acceleration Radio show April 2025. Performed using Analog Rytm Mk2, Digitakt Mk2, Korg Electribe and RNLA. All original material, mixed and blended and bent in all sorts of ways. Free for your listening pleasure. some of the tracks are already out and there's a lot of unleased stuff in there as well. Enjoy!
",false,true,https://www.youtube.com/watch?v=tqy3x8jbsHs,live-set,2025,Mon Apr 14 2025 00:00:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/626c89311a164b0f49a008fa/683666bafb1d582d98c20841_soundcloud%20Avril%2014th.png,https://cdn.prod.website-files.com/626c89311a164b0f49a008fa/6836683e2de4bd1928791093_blur%20test.png,,,,,,,,,,https://soundcloud.com/elimuro/avril-14th-live-hardware-set,https://elimuro.bandcamp.com/track/avril-14th-live-set,,,,
Cassieopea,cassieopea,6578eb2fc26d426f963ef24e,6578eb2fc26d426f963ef24d,6578eb2fc26d426f963ef2a2,false,false,Sun May 08 2022 02:01:50 GMT+0000 (Coordinated Universal Time),Fri May 27 2022 00:49:44 GMT+0000 (Coordinated Universal Time),Tue Dec 12 2023 23:58:07 GMT+0000 (Coordinated Universal Time),Eli Muro - Cassiepea,false,false,,single,2016,,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/62772480f1595f67e3c13e0b_Cassieopea.png,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/62772480f1595f67e3c13e0b_Cassieopea.png,,"hsla(239, 100.00%, 50.00%, 1.00)","hsla(241, 0.00%, 100.00%, 1.00)",,,,,,,https://soundcloud.com/bass-c0ast/eli-muro-cassiopeia-the-12-days-of-bass-coast?in=elimuro/sets/singles,https://basscoastmusic.bandcamp.com/track/cassiopeia,,,,
Dreamtime Hunter,dreamtime-hunter,6578eb2fc26d426f963ef24e,6578eb2fc26d426f963ef24d,6578eb2fc26d426f963ef26a,false,false,Sat Apr 30 2022 03:58:56 GMT+0000 (Coordinated Universal Time),Sun May 08 2022 02:50:18 GMT+0000 (Coordinated Universal Time),Tue Dec 12 2023 23:58:07 GMT+0000 (Coordinated Universal Time),Eli Muro - Dreamtime Hunter,false,false,,album,2014,,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/6270088f1a16bb3a0d2ea1f7_dreamtime%20hunter%20cover.png,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/6270088f1a16bb3a0d2ea1f7_dreamtime%20hunter%20cover.png,,,"hsla(0, 0.00%, 100.00%, 1.00)",,,,https://open.spotify.com/embed/album/7iYywqeURwb6SHfDWakB7T?utm_source=generator,https://open.spotify.com/album/7iYywqeURwb6SHfDWakB7T,https://music.apple.com/us/album/dreamtime-hunter-ep/1034578873?uo=4&app=itunes&at=1001lry3&ct=dashboard,https://soundcloud.com/elimuro/sets/dreamtime-hunter-ep,https://elimuro.bandcamp.com/album/dreamtime-hunter,https://www.deezer.com/album/11104592,https://music.apple.com/us/album/dreamtime-hunter-ep/1034578873?uo=4,http://www.amazon.com/gp/product/B0154G3QIC,https://tidal.com/browse/album/50606034
Hold Back,hold-back,6578eb2fc26d426f963ef24e,6578eb2fc26d426f963ef24d,6578eb2fc26d426f963ef2a7,false,false,Tue May 10 2022 00:52:00 GMT+0000 (Coordinated Universal Time),Fri May 27 2022 00:50:11 GMT+0000 (Coordinated Universal Time),Tue Dec 12 2023 23:58:07 GMT+0000 (Coordinated Universal Time),Eli Muro - Hold Back,false,false,,single,2015,,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/6279b71cae44fa5f3c12bb9d_hold%20back.png,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/6279b71cae44fa5f3c12bb9d_hold%20back.png,,,"hsla(0, 0.00%, 100.00%, 1.00)",,,,https://open.spotify.com/embed/album/4zAiL8oLVSo1yzkNRzwcX7?utm_source=generator,https://open.spotify.com/album/4zAiL8oLVSo1yzkNRzwcX7?si=ZkWCFOq9Rs6_8mS1m6728w,https://music.apple.com/us/album/hold-back-single/1153433714,https://soundcloud.com/elimuro/hold-back,,https://www.deezer.com/us/album/14017932,https://music.apple.com/us/album/hold-back-single/1153433714,http://www.amazon.com/gp/product/B01LWK37U7,http://www.tidal.com/album/64816057
Like A Sculptor,like-a-sculptor,6578eb2fc26d426f963ef24e,6578eb2fc26d426f963ef24d,6578eb2fc26d426f963ef2a0,false,false,Sun May 08 2022 02:01:28 GMT+0000 (Coordinated Universal Time),Sat May 28 2022 02:31:17 GMT+0000 (Coordinated Universal Time),Tue Dec 12 2023 23:58:07 GMT+0000 (Coordinated Universal Time),Eli Muro - Like a Sculptor,false,false,,single,2015,,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/627724b95d483253e50855e1_Like%20A%20Sculptor.png,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/627724b95d483253e50855e1_Like%20A%20Sculptor.png,,"hsla(102, 100.00%, 19.35%, 1.00)","hsla(0, 0.00%, 100.00%, 1.00)",,,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/208938753,,,,https://soundcloud.com/elimuro/eli-muro-like-a-sculptor-reprise,,,,,
Little Wishes,little-wishes,6578eb2fc26d426f963ef24e,6578eb2fc26d426f963ef24d,6578eb2fc26d426f963ef26e,false,false,Sat May 07 2022 04:53:10 GMT+0000 (Coordinated Universal Time),Tue Dec 12 2023 23:27:36 GMT+0000 (Coordinated Universal Time),Tue Dec 12 2023 23:58:07 GMT+0000 (Coordinated Universal Time),Eli Muro - Little Wishes,false,false,,single,2022,Fri Jun 10 2022 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/62a38a56891ce017d75efb44_little%20wishes%20small.png,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/6276bca99c4d2813f96ba59f_Screen%20Shot%202020-02-10%20at%207.06%201.png,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/6276cb0b218d326339d6b366_LW-logotype.svg,"hsla(31, 100.00%, 44.21%, 1.00)","hsla(0, 0.00%, 100.00%, 1.00)",,,,https://open.spotify.com/embed/album/3Q8tergr8DutcNXaCb47ci,https://open.spotify.com/album/3Q8tergr8DutcNXaCb47ci?si=MdM-uGPhR2WruJ2oPxCrmA,https://music.apple.com/us/album/little-wishes-single/1624813955,https://soundcloud.com/elimuro/little-wishes,https://elimuro.bandcamp.com/track/little-wishes,https://www.deezer.com/us/album/319721187,https://music.apple.com/us/album/little-wishes-single/1624813955,,http://tidal.com/browse/track/229724787
Live at Ambient Etc,live-at-ambient-etc,6578eb2fc26d426f963ef24e,6578eb2fc26d426f963ef24d,69533209297ba64b5b7ccd30,false,false,Tue Dec 30 2025 01:59:37 GMT+0000 (Coordinated Universal Time),Tue Dec 30 2025 02:02:37 GMT+0000 (Coordinated Universal Time),Sat Jan 24 2026 20:22:21 GMT+0000 (Coordinated Universal Time),"Performed live at Hadden Park Field House in Vancouver BC September 6th 2025 for Ambient ETC concert series.
",false,true,,live-set,2025,Tue Dec 30 2025 00:00:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/626c89311a164b0f49a008fa/695331359943a24358a28390_ambinet%20etc%20cover.png,https://cdn.prod.website-files.com/626c89311a164b0f49a008fa/695331359943a24358a28390_ambinet%20etc%20cover.png,,"hsla(129, 100.00%, 12.40%, 1.00)","hsla(0, 0.00%, 100.00%, 1.00)",,,,,,,https://soundcloud.com/elimuro/live-at-ambient-etc,https://elimuro.bandcamp.com/track/live-at-ambient-etc,,,,
Muscle Memory,muscle-memory,6578eb2fc26d426f963ef24e,6578eb2fc26d426f963ef24d,6578eb2fc26d426f963ef2b9,false,false,Tue Dec 12 2023 22:57:59 GMT+0000 (Coordinated Universal Time),Wed Oct 01 2025 19:54:44 GMT+0000 (Coordinated Universal Time),Wed Oct 01 2025 19:54:54 GMT+0000 (Coordinated Universal Time),,false,false,https://youtu.be/KgshFvs3jq4,ep,2023,Fri Dec 22 2023 00:00:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/626c89311a164b0f49a008fa/657905ec39e10b2d5c01133a_muscle%20memory.avif,https://cdn.prod.website-files.com/626c89311a164b0f49a008fa/6578ecf50a9fe9a063db3c0d_muscle%20memory%20bg.avif,,"hsla(284, 100.00%, 11.95%, 1.00)","hsla(302, 100.00%, 94.64%, 1.00)",,,,https://open.spotify.com/embed/album/1v2LZizZsiPoU7kYOB9Cml?utm_source=generator,https://open.spotify.com/album/1v2LZizZsiPoU7kYOB9Cml,,https://soundcloud.com/elimuro/sets/muscle-memory,https://elimuro.bandcamp.com/album/muscle-memory,https://www.deezer.com/en/album/529380652,https://music.apple.com/ca/album/muscle-memory-single/1723584940,https://music.amazon.com/albums/B0CR6YL179,https://tidal.com/browse/album/337630413
Pursuit,pursuit,6578eb2fc26d426f963ef24e,6578eb2fc26d426f963ef24d,6578eb2fc26d426f963ef26f,false,false,Sun May 08 2022 02:00:51 GMT+0000 (Coordinated Universal Time),Sat May 28 2022 02:27:12 GMT+0000 (Coordinated Universal Time),Tue Dec 12 2023 23:58:07 GMT+0000 (Coordinated Universal Time),Eli Muro - Pursuit,false,false,,single,2015,,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/6277244e883474680725521e_Pursuit.png,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/6277244e883474680725521e_Pursuit.png,,"hsla(0, 100.00%, 38.35%, 1.00)","hsla(0, 0.00%, 100.00%, 1.00)",,,,https://open.spotify.com/embed/album/3Cn7FeS4jLVUS5XfwvY2EZ?utm_source=generator,https://open.spotify.com/album/3Cn7FeS4jLVUS5XfwvY2EZ?si=FDHo2h0cRleysyQ4Yv7TVA,https://music.apple.com/us/album/pursuit-single/1039934303,https://soundcloud.com/elimuro/pursuit,,https://www.deezer.com/album/11211920,https://music.apple.com/us/album/pursuit-single/1039934303,https://www.amazon.com/gp/product/B015KPRR14,http://www.tidal.com/album/51255240
Snakes and Ladders,snakes-and-ladders,6578eb2fc26d426f963ef24e,6578eb2fc26d426f963ef24d,6578eb2fc26d426f963ef285,false,false,Sun May 08 2022 02:01:09 GMT+0000 (Coordinated Universal Time),Tue May 10 2022 03:35:58 GMT+0000 (Coordinated Universal Time),Tue Dec 12 2023 23:58:07 GMT+0000 (Coordinated Universal Time),,false,false,,single,2017,,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/6279dd91e61eb438eb664369_snakes%20and%20ladders%20og.png,https://uploads-ssl.webflow.com/626c89311a164b0f49a008fa/6279dd91e61eb438eb664369_snakes%20and%20ladders%20og.png,,"hsla(35, 100.00%, 45.76%, 1.00)","hsla(0, 0.00%, 100.00%, 1.00)",,,,https://open.spotify.com/embed/album/0szhdjdNARfcqMCuHAcZkR?utm_source=generator,https://open.spotify.com/album/0szhdjdNARfcqMCuHAcZkR?si=ElKwSb4AQ3aArA67b16WOw,https://music.apple.com/us/album/snakes-ladders-single/1114753939,https://soundcloud.com/elimuro/snakes-ladders,,https://www.deezer.com/album/13116844,https://music.apple.com/us/album/snakes-ladders-single/1114753939,http://www.amazon.com/gp/product/B01FSN5NWI,
